equipment,typeOfEquipment,categories,EquipmentSize,minPlayerAge,maxPlayerAge,minPlayerHeight,maxPlayerHeight
Shoes,Male,Spiky,UK(6),0,0,23.3,23.7
Shoes,Male,Spiky,UK(6.5),0,0,23.8,24.2
Shoes,Male,Spiky,UK(7),0,0,24.3,24.7
Shoes,Male,Spiky,UK(7.5),0,0,24.8,25.3
Shoes,Male,Spiky,UK(8),0,0,25.4,25.8
Shoes,Male,Spiky,UK(8.5),0,0,25.9,26.3
Shoes,Male,Spiky,UK(9),0,0,26.4,26.8
Shoes,Male,Spiky,UK(9.5),0,0,26.9,27.3
Shoes,Male,Spiky,UK(10),0,0,27.4,27.7
Shoes,Male,Spiky,UK(10.5),0,0,27.8,28.2
Shoes,Male,Spiky,UK(11),0,0,28.3,28.7
Shoes,Male,Spiky,UK(11.5),0,0,28.8,29.2
Shoes,Male,Spiky,UK(12),0,0,30.3,30.6
Shoes,Male,Spiky,UK(12.5),0,0,30.7,31.1
Shoes,Male,Spiky,UK(13),0,0,31.4,31.8
Shoes,Male,Spiky,UK(13.5),0,0,31.9,32.3
Shoes,Female,Spiky,UK(5),0,0,22.9,23.3
Shoes,Female,Spiky,UK(5.5),0,0,22.9,23.3
Shoes,Female,Spiky,UK(6),0,0,23.3,23.7
Shoes,Female,Spiky,UK(6.5),0,0,23.8,24.2
Shoes,Female,Spiky,UK(7),0,0,24.3,24.7
Shoes,Female,Spiky,UK(7.5),0,0,24.8,25.3
Shoes,Female,Spiky,UK(8),0,0,25.4,25.8
Shoes,Female,Spiky,UK(8.5),0,0,25.9,26.3
Shoes,Female,Spiky,UK(9),0,0,26.4,26.8
Shoes,Female,Spiky,UK(9.5),0,0,26.9,27.3
Shoes,Female,Spiky,UK(10),0,0,27.4,27.7
Shoes,Female,Spiky,UK(10.5),0,0,27.8,28.2
Shoes,Female,Spiky,UK(11),0,0,28.3,28.7
Shoes,Female,Spiky,UK(11.5),0,0,28.8,29.2
Shoes,Female,Spiky,UK(12),0,0,30.3,30.6
Shoes,Female,Spiky,UK(12.5),0,0,30.7,31.1
Shoes,Female,Spiky,UK(13),0,0,31.4,31.8
Shoes,Female,Spiky,UK(13.5),0,0,31.9,32.3
Shoes,Male,Non-Spiky,UK(5),0,0,22.9,23.3
Shoes,Male,Non-Spiky,UK(5.5),0,0,22.9,23.3
Shoes,Male,Non-Spiky,UK(6),0,0,23.3,23.7
Shoes,Male,Non-Spiky,UK(6.5),0,0,23.8,24.2
Shoes,Male,Non-Spiky,UK(7),0,0,24.3,24.7
Shoes,Male,Non-Spiky,UK(7.5),0,0,24.8,25.3
Shoes,Male,Non-Spiky,UK(8),0,0,25.4,25.8
Shoes,Male,Non-Spiky,UK(8.5),0,0,25.9,26.3
Shoes,Male,Non-Spiky,UK(9),0,0,26.4,26.8
Shoes,Male,Non-Spiky,UK(9.5),0,0,26.9,27.3
Shoes,Male,Non-Spiky,UK(10),0,0,27.4,27.7
Shoes,Male,Non-Spiky,UK(10.5),0,0,27.8,28.2
Shoes,Male,Non-Spiky,UK(11),0,0,28.3,28.7
Shoes,Male,Non-Spiky,UK(11.5),0,0,28.8,29.2
Shoes,Male,Non-Spiky,UK(12),0,0,30.3,30.6
Shoes,Male,Non-Spiky,UK(12.5),0,0,30.7,31.1
Shoes,Male,Non-Spiky,UK(13),0,0,31.4,31.8
Shoes,Male,Non-Spiky,UK(13.5),0,0,31.9,32.3
Shoes,Female,Non-Spiky,UK(5),0,0,22.9,23.3
Shoes,Female,Non-Spiky,UK(5.5),0,0,22.9,23.3
Shoes,Female,Non-Spiky,UK(6),0,0,23.3,23.7
Shoes,Female,Non-Spiky,UK(6.5),0,0,23.8,24.2
Shoes,Female,Non-Spiky,UK(7),0,0,24.3,24.7
Shoes,Female,Non-Spiky,UK(7.5),0,0,24.8,25.3
Shoes,Female,Non-Spiky,UK(8),0,0,25.4,25.8
Shoes,Female,Non-Spiky,UK(8.5),0,0,25.9,26.3
Shoes,Female,Non-Spiky,UK(9),0,0,26.4,26.8
Shoes,Female,Non-Spiky,UK(9.5),0,0,26.9,27.3
Shoes,Female,Non-Spiky,UK(10),0,0,27.4,27.7
Shoes,Female,Non-Spiky,UK(10.5),0,0,27.8,28.2
Shoes,Female,Non-Spiky,UK(11),0,0,28.3,28.7
Shoes,Female,Non-Spiky,UK(11.5),0,0,28.8,29.2
Shoes,Female,Non-Spiky,UK(12),0,0,30.3,30.6
Shoes,Female,Non-Spiky,UK(12.5),0,0,30.7,31.1
Shoes,Female,Non-Spiky,UK(13),0,0,31.4,31.8
Shoes,Female,Non-Spiky,UK(13.5),0,0,31.9,32.3



